"year","ID","Scenario","variable","value"
0,"1538394449543","Baseline","n",101041
1,"1538394449543","Baseline","n",101024
2,"1538394449543","Baseline","n",100980
3,"1538394449543","Baseline","n",101002
4,"1538394449543","Baseline","n",101023
5,"1538394449543","Baseline","n",101076
6,"1538394449543","Baseline","n",101232
7,"1538394449543","Baseline","n",101173
8,"1538394449543","Baseline","n",101237
9,"1538394449543","Baseline","n",101220
10,"1538394449543","Baseline","n",101320
11,"1538394449543","Baseline","n",101444
12,"1538394449543","Baseline","n",101346
13,"1538394449543","Baseline","n",101367
14,"1538394449543","Baseline","n",101347
15,"1538394449543","Baseline","n",101440
16,"1538394449543","Baseline","n",101412
17,"1538394449543","Baseline","n",101586
18,"1538394449543","Baseline","n",101448
19,"1538394449543","Baseline","n",101436
20,"1538394449543","Baseline","n",101492
21,"1538394449543","Baseline","n",101548
22,"1538394449543","Baseline","n",101538
23,"1538394449543","Baseline","n",101716
24,"1538394449543","Baseline","n",101525
25,"1538394449543","Baseline","n",101571
26,"1538394449543","Baseline","n",101569
27,"1538394449543","Baseline","n",101476
28,"1538394449543","Baseline","n",101646
29,"1538394449543","Baseline","n",101774
30,"1538394449543","Baseline","n",101609
31,"1538394449543","Baseline","n",101600
32,"1538394449543","Baseline","n",101603
33,"1538394449543","Baseline","n",101577
34,"1538394449543","Baseline","n",101575
35,"1538394449543","Baseline","n",101682
36,"1538394449543","Baseline","n",101643
37,"1538394449543","Baseline","n",101597
38,"1538394449543","Baseline","n",101516
39,"1538394449543","Baseline","n",101528
40,"1538394449543","Baseline","n",101443
41,"1538394449543","Baseline","n",101691
42,"1538394449543","Baseline","n",101511
43,"1538394449543","Baseline","n",101440
44,"1538394449543","Baseline","n",101492
45,"1538394449543","Baseline","n",101476
46,"1538394449543","Baseline","n",101484
47,"1538394449543","Baseline","n",101535
48,"1538394449543","Baseline","n",101435
49,"1538394449543","Baseline","n",101392
0,"1538394450012","Baseline","n",100990
1,"1538394450012","Baseline","n",101030
2,"1538394450012","Baseline","n",101043
3,"1538394450012","Baseline","n",101081
4,"1538394450012","Baseline","n",101106
5,"1538394450012","Baseline","n",101083
6,"1538394450012","Baseline","n",101133
7,"1538394450012","Baseline","n",101184
8,"1538394450012","Baseline","n",101246
9,"1538394450012","Baseline","n",101197
10,"1538394450012","Baseline","n",101337
11,"1538394450012","Baseline","n",101504
