"","year","n","COPD1","COPD1pc","COPD2","COPD2pc","COPD3","COPD3pc","ID"
"1",0,100987,20377,20.1778446730767,0,0,0,0,"1537857452201"
"2",1,101066,6343,6.27609680802644,11600,11.4776482694477,2664,2.63590129222488,"1537857452201"
"3",2,101040,6503,6.43606492478226,11574,11.4548693586698,2747,2.71872525732383,"1537857452201"
"4",3,101047,6664,6.59495086444922,11590,11.4699100418617,2803,2.77395667362712,"1537857452201"
"5",4,101101,6834,6.75957705660676,11584,11.4578490816115,2860,2.82885431400283,"1537857452201"
"6",5,101038,6999,6.92709673588155,11574,11.4550961024565,2885,2.85536134919535,"1537857452201"
"7",6,101123,7122,7.04290814157017,11657,11.5275456622133,2899,2.86680577118954,"1537857452201"
"8",7,101126,7202,7.12180843699939,11676,11.5459921286316,2970,2.93693016632716,"1537857452201"
"9",8,101205,7216,7.13008250580505,11787,11.6466577738254,2992,2.95637567313868,"1537857452201"
"10",9,101289,7291,7.19821500853992,11770,11.620215423195,3021,2.98255486775464,"1537857452201"
"11",10,101286,7342,7.24878068044942,11788,11.6383310625358,2970,2.93229074106984,"1537857452201"
"12",11,101450,7531,7.42336126170527,11744,11.5761458846723,2884,2.84277969443075,"1537857452201"
"13",12,101357,7435,7.33545783714988,11720,11.5630888838462,2786,2.74870013911225,"1537857452201"
"14",13,101376,7437,7.33605587121212,11733,11.5737452651515,2669,2.63277304292929,"1537857452201"
"15",14,101389,7385,7.2838276341615,11737,11.5762064918285,2598,2.56240815078559,"1537857452201"
"16",15,101390,7307,7.2068251306835,11770,11.6086399053161,2506,2.47164414636552,"1537857452201"
"17",16,101442,7289,7.18538672344788,11689,11.522840638,2427,2.39250014786775,"1537857452201"
"18",17,101544,7295,7.18407783817852,11675,11.4974789253919,2327,2.29161742692823,"1537857452201"
"19",18,101466,7141,7.0378254784854,11595,11.4274732422683,2236,2.2036938481856,"1537857452201"
"20",19,101496,7040,6.9362339402538,11534,11.3639946401829,2125,2.09367856861354,"1537857452201"
"21",20,101485,6970,6.86801005074642,11447,11.2794994334138,1997,1.96777848943194,"1537857452201"
"22",21,101484,6962,6.86019471049624,11301,11.1357455362422,1925,1.89685073509125,"1537857452201"
"23",22,101552,6875,6.76993067590988,11146,10.9756577910824,1808,1.78036867811565,"1537857452201"
"24",23,101661,6831,6.71939091687078,10995,10.8153569215333,1667,1.63976352780319,"1537857452201"
"25",24,101504,6651,6.55245113493064,10783,10.6232266708701,1566,1.54279634300126,"1537857452201"
"26",25,101545,6624,6.52321630804077,10538,10.3776650745975,1446,1.42399921217194,"1537857452201"
"27",26,101523,6511,6.41332505934616,10283,10.1287393004541,1370,1.34944790835574,"1537857452201"
"28",27,101627,6383,6.28081120174757,10136,9.97372745431824,1246,1.22605213181536,"1537857452201"
"29",28,101577,6217,6.12048002992803,9842,9.68920129556888,1195,1.1764474241216,"1537857452201"
"30",29,101757,6217,6.10965338993878,9573,9.40770659512368,1128,1.10852324655798,"1537857452201"
"31",30,101617,6021,5.92518968282866,9259,9.1116643868644,1063,1.04608480864422,"1537857452201"
"32",31,101577,5868,5.77689831359461,8869,8.73130728412928,1011,0.995304055051833,"1537857452201"
"33",32,101712,5719,5.62273871322951,8580,8.43558282208589,936,0.920245398773006,"1537857452201"
"34",33,101600,5565,5.47736220472441,8183,8.05413385826772,875,0.861220472440945,"1537857452201"
"35",34,101608,5460,5.37359263050154,7840,7.71592787969451,793,0.780450358239509,"1537857452201"
"36",35,101761,5373,5.28001886773911,7495,7.36529711775631,754,0.740951838130522,"1537857452201"
"37",36,101550,5167,5.08813392417528,7198,7.08813392417528,647,0.637124569177745,"1537857452201"
"38",37,101593,5065,4.98557971513785,6875,6.7671985274576,615,0.605356668274389,"1537857452201"
"39",38,101608,5004,4.92480907015196,6558,6.45421620344855,553,0.544248484371309,"1537857452201"
"40",39,101486,4915,4.8430325365075,6233,6.1417338352088,503,0.495634865892833,"1537857452201"
"41",40,101575,4878,4.80236278611863,5953,5.86069406842235,468,0.460743293133153,"1537857452201"
"42",41,101561,4809,4.73508531818316,5728,5.63996022095096,408,0.401729010151535,"1537857452201"
"43",42,101496,4668,4.59919602742965,5476,5.39528651375424,390,0.384251596122015,"1537857452201"
"44",43,101433,4546,4.481776147802,5277,5.20244890716039,367,0.361815188350931,"1537857452201"
"45",44,101492,4436,4.37078784534742,5100,5.02502660308202,310,0.305442793520672,"1537857452201"
"46",45,101441,4309,4.24778935538885,4908,4.83828037972812,276,0.272079336757327,"1537857452201"
"47",46,101527,4237,4.17327410442542,4739,4.66772385670807,252,0.248209835807224,"1537857452201"
"48",47,101590,4186,4.12048429963579,4505,4.43449158381731,219,0.215572398858155,"1537857452201"
"49",48,101464,4045,3.98663565402507,4346,4.28329259638887,189,0.186272963809824,"1537857452201"
"50",49,101296,3989,3.93796398673195,4154,4.10085294582214,181,0.178684252092876,"1537857452201"
"51",0,100989,20401,20.2012100327758,0,0,0,0,"1537857453201"
"52",1,101043,6350,6.28445315360787,11587,11.4673950694259,2656,2.62858387023347,"1537857453201"
"53",2,101056,6543,6.47462792906903,11596,11.4748258391387,2735,2.70642020265991,"1537857453201"
"54",3,101039,6666,6.59745246884866,11605,11.4856639515435,2828,2.79891922920852,"1537857453201"
"55",4,101034,6836,6.76603915513589,11621,11.5020686105667,2870,2.8406279074371,"1537857453201"
"56",5,101083,6987,6.91214150747406,11681,11.5558501429518,2906,2.8748652097781,"1537857453201"
"57",6,101129,7104,7.02469123594617,11744,11.6128904666317,2916,2.88344589583601,"1537857453201"
"58",7,101212,7211,7.12464925107695,11771,11.630043868316,2964,2.92850650120539,"1537857453201"
"59",8,101201,7198,7.11257793895317,11815,11.6747858222745,2987,2.95155186213575,"1537857453201"
"60",9,101247,7279,7.18934882021196,11880,11.7336809979555,2943,2.90675279267534,"1537857453201"
"61",10,101298,7278,7.18474204821418,11903,11.750478785366,2904,2.86678907777054,"1537857453201"
"62",11,101503,7457,7.3465808892348,11861,11.6853689053526,2830,2.78809493315469,"1537857453201"
"63",12,101339,7364,7.26669890170615,11801,11.6450724794995,2734,2.69787544775457,"1537857453201"
"64",13,101372,7383,7.28307619460995,11803,11.6432545476068,2640,2.60426942350945,"1537857453201"
"65",14,101352,7384,7.28550003946641,11788,11.6307522298524,2572,2.53769042544794,"1537857453201"
"66",15,101379,7305,7.20563430296215,11786,11.6256818473254,2497,2.46303475078665,"1537857453201"
"67",16,101396,7302,7.20146751351138,11731,11.5694899207069,2375,2.34230147145844,"1537857453201"
"68",17,101604,7327,7.21133026258809,11721,11.535963151057,2276,2.24006928861068,"1537857453201"
"69",18,101357,7170,7.07400574207997,11624,11.4683741626133,2172,2.14292056789368,"1537857453201"
"70",19,101454,7076,6.97458946911901,11553,11.3874268141227,2076,2.04624756047076,"1537857453201"
"71",20,101517,6960,6.85599456248707,11462,11.2907197809234,1962,1.93268122580455,"1537857453201"
"72",21,101493,6870,6.76893972983358,11288,11.1219492969959,1877,1.84938862778714,"1537857453201"
"73",22,101534,6828,6.7248409399807,11145,10.9766186696082,1760,1.73340949829614,"1537857453201"
"74",23,101695,6926,6.81056099119917,10888,10.7065244112297,1660,1.63233197305669,"1537857453201"
"75",24,101544,6754,6.65130386827385,10678,10.5156385409281,1533,1.5096903805247,"1537857453201"
"76",25,101479,6644,6.5471673942392,10480,10.3272598271564,1432,1.41112939622976,"1537857453201"
"77",26,101601,6488,6.38576391964646,10270,10.1081682266907,1353,1.33167980630112,"1537857453201"
"78",27,101506,6330,6.23608456642957,10033,9.88414477961894,1256,1.23736527889977,"1537857453201"
"79",28,101623,6238,6.13837418694587,9827,9.67005500723261,1169,1.15033014179861,"1537857453201"
"80",29,101736,6220,6.11386333254698,9472,9.31037194306833,1110,1.09105921207832,"1537857453201"
"81",30,101678,5999,5.89999803300616,9181,9.02948523771121,1072,1.05430870001377,"1537857453201"
"82",31,101634,5870,5.77562626680048,8831,8.68902139047956,1008,0.991794084656709,"1537857453201"
"83",32,101601,5737,5.64659796655545,8435,8.30208364090905,963,0.947825316679954,"1537857453201"
"84",33,101627,5652,5.56151416454289,8097,7.96737087584992,898,0.883623446525038,"1537857453201"
"85",34,101621,5534,5.44572480097618,7795,7.67065862370967,819,0.80593578099015,"1537857453201"
"86",35,101745,5483,5.38896260258489,7445,7.31731289006831,751,0.73811980932724,"1537857453201"
"87",36,101551,5280,5.19935795807033,7136,7.02701105848293,661,0.650904471644789,"1537857453201"
"88",37,101521,5171,5.09352744752317,6853,6.75032751844446,617,0.607756030771958,"1537857453201"
"89",38,101478,5041,4.96757917972368,6582,6.48613492579672,555,0.546916573050316,"1537857453201"
"90",39,101478,4956,4.88381718204931,6282,6.19050434576953,538,0.530164173515442,"1537857453201"
"91",40,101519,4898,4.82471261537249,6060,5.96932593898679,500,0.492518641830593,"1537857453201"
"92",41,101573,4826,4.75126263869335,5821,5.73085367174347,445,0.438108552469652,"1537857453201"
"93",42,101557,4660,4.58855618027315,5623,5.53679214628238,416,0.409622182616659,"1537857453201"
"94",43,101551,4551,4.48149205817766,5411,5.32835718013609,369,0.363364220933324,"1537857453201"
"95",44,101509,4424,4.35823424523934,5233,5.15520791259888,319,0.314257849057719,"1537857453201"
"96",45,101465,4266,4.20440546001084,5037,4.96427339476667,272,0.268072734440447,"1537857453201"
"97",46,101526,4194,4.13096152709651,4825,4.75247719795914,250,0.246242341863168,"1537857453201"
"98",47,101591,4122,4.05744603360534,4624,4.5515842938843,220,0.216554616058509,"1537857453201"
"99",48,101445,3972,3.91542214993346,4428,4.36492680762975,208,0.205037212282518,"1537857453201"
"100",49,101352,3911,3.85882863683006,4288,4.23079958954929,197,0.194372089351961,"1537857453201"
"101",0,100999,20414,20.2120813077357,0,0,0,0,"1537857453576"
"102",1,100988,6351,6.28886600388165,11607,11.4934447657147,2680,2.65378064720561,"1537857453576"
"103",2,101029,6509,6.44270456997496,11638,11.5194647081531,2729,2.70120460461848,"1537857453576"
"104",3,101063,6666,6.59588573464077,11661,11.5383473674836,2825,2.79528610866489,"1537857453576"
"105",4,101122,6809,6.733450683333,11643,11.5138149957477,2871,2.83914479539566,"1537857453576"
"106",5,101096,6977,6.90136108253541,11647,11.5207327688534,2881,2.84976655851864,"1537857453576"
"107",6,101168,7090,7.00814486794243,11724,11.5886446307133,2883,2.84971532500395,"1537857453576"
"108",7,101182,7156,7.07240418256212,11734,11.5969243541341,2916,2.88193552212844,"1537857453576"
"109",8,101223,7190,7.10312873556405,11775,11.632731691414,2938,2.90250239570058,"1537857453576"
"110",9,101242,7257,7.16797376582841,11776,11.631536318919,2966,2.92961419173861,"1537857453576"
"111",10,101271,7318,7.22615556279685,11761,11.6133937652438,2943,2.90606392748171,"1537857453576"
"112",11,101438,7446,7.34044440939293,11758,11.5913168635028,2884,2.84311599203454,"1537857453576"
"113",12,101361,7418,7.31839662197492,11749,11.5912431803159,2755,2.71800791231341,"1537857453576"
"114",13,101426,7420,7.31567842565023,11776,11.6104351941317,2662,2.62457358073867,"1537857453576"
"115",14,101406,7367,7.26485612291186,11737,11.5742658225352,2583,2.54718655700846,"1537857453576"
"116",15,101365,7304,7.20564297341291,11656,11.4990381295319,2520,2.48606520988507,"1537857453576"
"117",16,101428,7314,7.2110265409946,11641,11.4771069132784,2415,2.38099932957369,"1537857453576"
"118",17,101569,7303,7.19018598194331,11614,11.4345912630822,2314,2.27825419173173,"1537857453576"
"119",18,101532,7151,7.04309971240594,11512,11.3382972855848,2175,2.14218177520388,"1537857453576"
"120",19,101448,7008,6.90797255736929,11445,11.2816418263544,2043,2.013839602555,"1537857453576"
"121",20,101501,6901,6.7989477936178,11340,11.1723037211456,1944,1.9152520664821,"1537857453576"
"122",21,101508,6892,6.78961264136817,11171,11.0050439374237,1819,1.7919769870355,"1537857453576"
"123",22,101481,6798,6.69879090667219,11024,10.8631172337679,1720,1.69489855243839,"1537857453576"
"124",23,101633,6825,6.71533852193677,10902,10.7268308521838,1591,1.565436423209,"1537857453576"
"125",24,101499,6627,6.52912836579671,10696,10.5380348574863,1503,1.48080276652972,"1537857453576"
"126",25,101525,6521,6.42304851021916,10501,10.3432652056144,1423,1.40162521546417,"1537857453576"
"127",26,101603,6457,6.355127309233,10247,10.0853321260199,1346,1.32476403255809,"1537857453576"
"128",27,101559,6366,6.26827755294952,9954,9.80119930286828,1265,1.24558138618931,"1537857453576"
"129",28,101539,6227,6.13261899368715,9657,9.51063138301539,1215,1.19658456356671,"1537857453576"
"130",29,101781,6207,6.09838771479942,9445,9.27972804354447,1125,1.10531435140154,"1537857453576"
"131",30,101591,6077,5.98182909903436,9053,8.91122245080765,1037,1.0207597129667,"1537857453576"
