"","year","scenario","type","N","value","sd","se","ci","variable"
"1",0,"basline 100K 10x","incidence",10,100997.2,19.3264355511075,6.11155553939511,13.8252991392817,"n"
"2",0,"basline 100K 10x","prevalence",10,100997.2,19.3264355511075,6.11155553939511,13.8252991392817,"n"
"3",0,"Scenario_1_100K_10x","incidence",10,100988.6,24.9274502863365,7.88275191654398,17.8320237105712,"n"
"4",0,"Scenario_1_100K_10x","prevalence",10,100988.6,24.9274502863365,7.88275191654398,17.8320237105712,"n"
"5",0,"Scenario_2_100K_10x","incidence",10,100979,40.5490101262931,12.8227228864318,29.0070144241182,"n"
"6",0,"Scenario_2_100K_10x","prevalence",10,100979,40.5490101262931,12.8227228864318,29.0070144241182,"n"
"7",0,"Scenario_3_100K_10x","incidence",9,100984.666666667,27.6947648482525,9.23158828275082,21.2880807545257,"n"
"8",0,"Scenario_3_100K_10x","prevalence",9,100984.666666667,27.6947648482525,9.23158828275082,21.2880807545257,"n"
"9",0,"Scenario_4_100K_10x","incidence",10,100978.5,29.1671428532557,9.22346042557901,20.8649170675093,"n"
"10",0,"Scenario_4_100K_10x","prevalence",10,100978.5,29.1671428532557,9.22346042557901,20.8649170675093,"n"
"11",0,"Scenario_5_100K_10x","incidence",10,100975.7,27.467354360323,8.6859401077578,19.6489616304005,"n"
"12",0,"Scenario_5_100K_10x","prevalence",10,100975.7,27.467354360323,8.6859401077578,19.6489616304005,"n"
"13",0,"Scenario_6_100K_10x","incidence",10,100967.8,22.7293251598507,7.1876437183699,16.259579721152,"n"
"14",0,"Scenario_6_100K_10x","prevalence",10,100967.8,22.7293251598507,7.1876437183699,16.259579721152,"n"
"15",1,"basline 100K 10x","incidence",10,101047,39.9833298596636,12.6438390794357,28.6023511388134,"n"
"16",1,"basline 100K 10x","prevalence",10,101047,39.9833298596636,12.6438390794357,28.6023511388134,"n"
"17",1,"Scenario_1_100K_10x","incidence",10,101060,36.6424162230968,11.587349423689,26.2124054966438,"n"
"18",1,"Scenario_1_100K_10x","prevalence",10,101060,36.6424162230968,11.587349423689,26.2124054966438,"n"
"19",1,"Scenario_2_100K_10x","incidence",10,101037.5,29.5155326339652,9.3336309476359,21.1141401031096,"n"
"20",1,"Scenario_2_100K_10x","prevalence",10,101037.5,29.5155326339652,9.3336309476359,21.1141401031096,"n"
"21",1,"Scenario_3_100K_10x","incidence",9,101038.888888889,33.7914354698215,11.2638118232738,25.974396642631,"n"
"22",1,"Scenario_3_100K_10x","prevalence",9,101038.888888889,33.7914354698215,11.2638118232738,25.974396642631,"n"
"23",1,"Scenario_4_100K_10x","incidence",10,101050.7,35.2295646044941,11.140566512625,25.2017123341645,"n"
"24",1,"Scenario_4_100K_10x","prevalence",10,101050.7,35.2295646044941,11.140566512625,25.2017123341645,"n"
"25",1,"Scenario_5_100K_10x","incidence",10,101040,51.7386595196367,16.3612007166005,37.011607393037,"n"
"26",1,"Scenario_5_100K_10x","prevalence",10,101040,51.7386595196367,16.3612007166005,37.011607393037,"n"
"27",1,"Scenario_6_100K_10x","incidence",10,101034,25.3289469886838,8.0097163217904,18.1192371493198,"n"
"28",1,"Scenario_6_100K_10x","prevalence",10,101034,25.3289469886838,8.0097163217904,18.1192371493198,"n"
"29",2,"basline 100K 10x","incidence",10,101031.7,25.5910140479036,8.09258920247408,18.3067086299601,"n"
"30",2,"basline 100K 10x","prevalence",10,101031.7,25.5910140479036,8.09258920247408,18.3067086299601,"n"
"31",2,"Scenario_1_100K_10x","incidence",10,101043.8,36.898660017826,11.6683808264519,26.3957112648155,"n"
"32",2,"Scenario_1_100K_10x","prevalence",10,101043.8,36.898660017826,11.6683808264519,26.3957112648155,"n"
"33",2,"Scenario_2_100K_10x","incidence",10,101022.4,24.4367664709461,7.72758406978245,17.4810096545837,"n"
"34",2,"Scenario_2_100K_10x","prevalence",10,101022.4,24.4367664709461,7.72758406978245,17.4810096545837,"n"
"35",2,"Scenario_3_100K_10x","incidence",9,101026.777777778,25.4252717673665,8.47509058912217,19.5435939447456,"n"
"36",2,"Scenario_3_100K_10x","prevalence",9,101026.777777778,25.4252717673665,8.47509058912217,19.5435939447456,"n"
"37",2,"Scenario_4_100K_10x","incidence",10,101055.6,38.1610621794869,12.0675874418488,27.2987793692719,"n"
"38",2,"Scenario_4_100K_10x","prevalence",10,101055.6,38.1610621794869,12.0675874418488,27.2987793692719,"n"
"39",2,"Scenario_5_100K_10x","incidence",10,101055.7,42.2980167646454,13.3758073484266,30.258178401452,"n"
"40",2,"Scenario_5_100K_10x","prevalence",10,101055.7,42.2980167646454,13.3758073484266,30.258178401452,"n"
"41",2,"Scenario_6_100K_10x","incidence",10,101052.7,31.2447328894541,9.88045208142488,22.3511354476797,"n"
"42",2,"Scenario_6_100K_10x","prevalence",10,101052.7,31.2447328894541,9.88045208142488,22.3511354476797,"n"
"43",3,"basline 100K 10x","incidence",10,101049.7,34.2086733641241,10.8177323563367,24.4714107351209,"n"
"44",3,"basline 100K 10x","prevalence",10,101049.7,34.2086733641241,10.8177323563367,24.4714107351209,"n"
"45",3,"Scenario_1_100K_10x","incidence",10,101051,35.9938266311816,11.3822473859759,25.7484324529266,"n"
"46",3,"Scenario_1_100K_10x","prevalence",10,101051,35.9938266311816,11.3822473859759,25.7484324529266,"n"
"47",3,"Scenario_2_100K_10x","incidence",10,101056,27.121127475744,8.5764535535124,19.4012858374842,"n"
"48",3,"Scenario_2_100K_10x","prevalence",10,101056,27.121127475744,8.5764535535124,19.4012858374842,"n"
"49",3,"Scenario_3_100K_10x","incidence",9,101049.666666667,34.9821382994236,11.6607127664745,26.8896518589183,"n"
"50",3,"Scenario_3_100K_10x","prevalence",9,101049.666666667,34.9821382994236,11.6607127664745,26.8896518589183,"n"
"51",3,"Scenario_4_100K_10x","incidence",10,101045.6,30.7506097500521,9.72419662491457,21.9976610475086,"n"
"52",3,"Scenario_4_100K_10x","prevalence",10,101045.6,30.7506097500521,9.72419662491457,21.9976610475086,"n"
"53",3,"Scenario_5_100K_10x","incidence",10,101061.2,31.5129602967837,9.96527303522922,22.5430137758836,"n"
"54",3,"Scenario_5_100K_10x","prevalence",10,101061.2,31.5129602967837,9.96527303522922,22.5430137758836,"n"
"55",3,"Scenario_6_100K_10x","incidence",10,101063.9,22.4818445269362,7.10938347069092,16.0825427413026,"n"
"56",3,"Scenario_6_100K_10x","prevalence",10,101063.9,22.4818445269362,7.10938347069092,16.0825427413026,"n"
"57",4,"basline 100K 10x","incidence",10,101072.5,33.4107434484445,10.5654047616633,23.9006060594589,"n"
"58",4,"basline 100K 10x","prevalence",10,101072.5,33.4107434484445,10.5654047616633,23.9006060594589,"n"
"59",4,"Scenario_1_100K_10x","incidence",10,101074.1,32.3469043684589,10.228989305998,23.1395814267497,"n"
"60",4,"Scenario_1_100K_10x","prevalence",10,101074.1,32.3469043684589,10.228989305998,23.1395814267497,"n"
"61",4,"Scenario_2_100K_10x","incidence",10,101081.4,47.1008374542204,14.8945926056703,33.6939093498783,"n"
"62",4,"Scenario_2_100K_10x","prevalence",10,101081.4,47.1008374542204,14.8945926056703,33.6939093498783,"n"
"63",4,"Scenario_3_100K_10x","incidence",9,101070.333333333,27.2901080979904,9.09670269933012,20.9770340413782,"n"
"64",4,"Scenario_3_100K_10x","prevalence",9,101070.333333333,27.2901080979904,9.09670269933012,20.9770340413782,"n"
"65",4,"Scenario_4_100K_10x","incidence",10,101089.7,35.4527855041039,11.2111551590369,25.3613949462574,"n"
"66",4,"Scenario_4_100K_10x","prevalence",10,101089.7,35.4527855041039,11.2111551590369,25.3613949462574,"n"
"67",4,"Scenario_5_100K_10x","incidence",10,101072.3,23.88421142838,7.55285082307042,17.0857355889551,"n"
"68",4,"Scenario_5_100K_10x","prevalence",10,101072.3,23.88421142838,7.55285082307042,17.0857355889551,"n"
"69",4,"Scenario_6_100K_10x","incidence",10,101091,28.8521133445099,9.12383934779895,20.6395585328435,"n"
"70",4,"Scenario_6_100K_10x","prevalence",10,101091,28.8521133445099,9.12383934779895,20.6395585328435,"n"
"71",5,"basline 100K 10x","incidence",10,101105.5,36.969206405091,11.6906895528973,26.4461771101368,"n"
"72",5,"basline 100K 10x","prevalence",10,101105.5,36.969206405091,11.6906895528973,26.4461771101368,"n"
"73",5,"Scenario_1_100K_10x","incidence",10,101094.2,34.4602830967929,10.8972983400066,24.651401494995,"n"
"74",5,"Scenario_1_100K_10x","prevalence",10,101094.2,34.4602830967929,10.8972983400066,24.651401494995,"n"
"75",5,"Scenario_2_100K_10x","incidence",10,101090.1,33.2747819092945,10.5224099478737,23.8033450334815,"n"
"76",5,"Scenario_2_100K_10x","prevalence",10,101090.1,33.2747819092945,10.5224099478737,23.8033450334815,"n"
"77",5,"Scenario_3_100K_10x","incidence",9,101088.666666667,33.0302891298275,11.0100963766092,25.3893277734571,"n"
"78",5,"Scenario_3_100K_10x","prevalence",9,101088.666666667,33.0302891298275,11.0100963766092,25.3893277734571,"n"
"79",5,"Scenario_4_100K_10x","incidence",10,101106.5,32.170552442326,10.1732219303643,23.0134268585093,"n"
"80",5,"Scenario_4_100K_10x","prevalence",10,101106.5,32.170552442326,10.1732219303643,23.0134268585093,"n"
"81",5,"Scenario_5_100K_10x","incidence",10,101112.1,24.9151894768365,7.87887470814625,17.8232528558227,"n"
"82",5,"Scenario_5_100K_10x","prevalence",10,101112.1,24.9151894768365,7.87887470814625,17.8232528558227,"n"
"83",5,"Scenario_6_100K_10x","incidence",10,101085.2,30.9221244059618,9.77843432139204,22.1203552410888,"n"
"84",5,"Scenario_6_100K_10x","prevalence",10,101085.2,30.9221244059618,9.77843432139204,22.1203552410888,"n"
"85",6,"basline 100K 10x","incidence",10,101131.5,58.5552920086837,18.5168091803697,41.8879325195408,"n"
"86",6,"basline 100K 10x","prevalence",10,101131.5,58.5552920086837,18.5168091803697,41.8879325195408,"n"
"87",6,"Scenario_1_100K_10x","incidence",10,101131.7,18.4694943683421,5.8405669435614,13.2122803461799,"n"
"88",6,"Scenario_1_100K_10x","prevalence",10,101131.7,18.4694943683421,5.8405669435614,13.2122803461799,"n"
"89",6,"Scenario_2_100K_10x","incidence",10,101129.6,24.2496277176464,7.66840559989131,17.347138655036,"n"
"90",6,"Scenario_2_100K_10x","prevalence",10,101129.6,24.2496277176464,7.66840559989131,17.347138655036,"n"
"91",6,"Scenario_3_100K_10x","incidence",9,101144.888888889,32.3784050118456,10.7928016706152,24.8882452828771,"n"
"92",6,"Scenario_3_100K_10x","prevalence",9,101144.888888889,32.3784050118456,10.7928016706152,24.8882452828771,"n"
"93",6,"Scenario_4_100K_10x","incidence",10,101140.3,37.6151565196797,11.894956914592,26.9082619855203,"n"
"94",6,"Scenario_4_100K_10x","prevalence",10,101140.3,37.6151565196797,11.894956914592,26.9082619855203,"n"
"95",6,"Scenario_5_100K_10x","incidence",10,101157.5,26.8834934899135,8.50130708904356,19.231292724627,"n"
"96",6,"Scenario_5_100K_10x","prevalence",10,101157.5,26.8834934899135,8.50130708904356,19.231292724627,"n"
"97",6,"Scenario_6_100K_10x","incidence",10,101122.5,38.0095017360426,12.0196598214019,27.190359559382,"n"
"98",6,"Scenario_6_100K_10x","prevalence",10,101122.5,38.0095017360426,12.0196598214019,27.190359559382,"n"
"99",7,"basline 100K 10x","incidence",10,101169.7,45.7894941856511,14.4799094533694,32.7558308866091,"n"
"100",7,"basline 100K 10x","prevalence",10,101169.7,45.7894941856511,14.4799094533694,32.7558308866091,"n"
"101",7,"Scenario_1_100K_10x","incidence",10,101169,26.7789303578599,8.46824132338652,19.1564927660026,"n"
"102",7,"Scenario_1_100K_10x","prevalence",10,101169,26.7789303578599,8.46824132338652,19.1564927660026,"n"
"103",7,"Scenario_2_100K_10x","incidence",10,101177.3,23.9028124797992,7.55873299200629,17.0990419795461,"n"
"104",7,"Scenario_2_100K_10x","prevalence",10,101177.3,23.9028124797992,7.55873299200629,17.0990419795461,"n"
"105",7,"Scenario_3_100K_10x","incidence",9,101172.222222222,33.4805084257161,11.1601694752387,25.7353969594797,"n"
"106",7,"Scenario_3_100K_10x","prevalence",9,101172.222222222,33.4805084257161,11.1601694752387,25.7353969594797,"n"
"107",7,"Scenario_4_100K_10x","incidence",10,101172.1,38.240321941927,12.0926515794602,27.355478387699,"n"
"108",7,"Scenario_4_100K_10x","prevalence",10,101172.1,38.240321941927,12.0926515794602,27.355478387699,"n"
"109",7,"Scenario_5_100K_10x","incidence",10,101187.5,24.1580444388843,7.63944442424389,17.2816239241021,"n"
"110",7,"Scenario_5_100K_10x","prevalence",10,101187.5,24.1580444388843,7.63944442424389,17.2816239241021,"n"
"111",7,"Scenario_6_100K_10x","incidence",10,101189.7,41.8490674262216,13.2338371020821,29.9370193917796,"n"
"112",7,"Scenario_6_100K_10x","prevalence",10,101189.7,41.8490674262216,13.2338371020821,29.9370193917796,"n"
"113",8,"basline 100K 10x","incidence",10,101209.3,54.9384504089197,17.3730634412395,39.3005999033476,"n"
"114",8,"basline 100K 10x","prevalence",10,101209.3,54.9384504089197,17.3730634412395,39.3005999033476,"n"
"115",8,"Scenario_1_100K_10x","incidence",10,101236.3,26.9693241377022,8.52844912304954,19.2926922712666,"n"
"116",8,"Scenario_1_100K_10x","prevalence",10,101236.3,26.9693241377022,8.52844912304954,19.2926922712666,"n"
"117",8,"Scenario_2_100K_10x","incidence",10,101233.4,38.3614389719677,12.1309521472966,27.4421202915693,"n"
"118",8,"Scenario_2_100K_10x","prevalence",10,101233.4,38.3614389719677,12.1309521472966,27.4421202915693,"n"
"119",8,"Scenario_3_100K_10x","incidence",9,101211.888888889,24.3897747244847,8.12992490816156,18.7476404571199,"n"
"120",8,"Scenario_3_100K_10x","prevalence",9,101211.888888889,24.3897747244847,8.12992490816156,18.7476404571199,"n"
"121",8,"Scenario_4_100K_10x","incidence",10,101227.6,38.6643677477511,12.2267466373248,27.6588224833432,"n"
"122",8,"Scenario_4_100K_10x","prevalence",10,101227.6,38.6643677477511,12.2267466373248,27.6588224833432,"n"
"123",8,"Scenario_5_100K_10x","incidence",10,101214.3,37.5293958858327,11.8678370209384,26.8469125238375,"n"
"124",8,"Scenario_5_100K_10x","prevalence",10,101214.3,37.5293958858327,11.8678370209384,26.8469125238375,"n"
"125",8,"Scenario_6_100K_10x","incidence",10,101219.9,34.7609295362224,10.9923710919083,24.8664710016964,"n"
"126",8,"Scenario_6_100K_10x","prevalence",10,101219.9,34.7609295362224,10.9923710919083,24.8664710016964,"n"
"127",9,"basline 100K 10x","incidence",10,101258.4,43.9044416887403,13.8838035134469,31.4073455648267,"n"
"128",9,"basline 100K 10x","prevalence",10,101258.4,43.9044416887403,13.8838035134469,31.4073455648267,"n"
"129",9,"Scenario_1_100K_10x","incidence",10,101276,32.2834667008087,10.2089285540757,23.0942008530975,"n"
"130",9,"Scenario_1_100K_10x","prevalence",10,101276,32.2834667008087,10.2089285540757,23.0942008530975,"n"
"131",9,"Scenario_2_100K_10x","incidence",10,101276,35.1694311709599,11.1215506512756,25.1586954672062,"n"
"132",9,"Scenario_2_100K_10x","prevalence",10,101276,35.1694311709599,11.1215506512756,25.1586954672062,"n"
"133",9,"Scenario_3_100K_10x","incidence",9,101243.555555556,19.0598472653318,6.35328242177728,14.6506955367383,"n"
"134",9,"Scenario_3_100K_10x","prevalence",9,101243.555555556,19.0598472653318,6.35328242177728,14.6506955367383,"n"
"135",9,"Scenario_4_100K_10x","incidence",10,101239.4,31.7637109502862,10.0445673542136,22.7223899875433,"n"
"136",9,"Scenario_4_100K_10x","prevalence",10,101239.4,31.7637109502862,10.0445673542136,22.7223899875433,"n"
"137",9,"Scenario_5_100K_10x","incidence",10,101244.3,37.4731014640279,11.8500351616919,26.8066419204318,"n"
"138",9,"Scenario_5_100K_10x","prevalence",10,101244.3,37.4731014640279,11.8500351616919,26.8066419204318,"n"
"139",9,"Scenario_6_100K_10x","incidence",10,101274.2,31.4176171385843,9.93512288130684,22.4748093892286,"n"
"140",9,"Scenario_6_100K_10x","prevalence",10,101274.2,31.4176171385843,9.93512288130684,22.4748093892286,"n"
"141",10,"basline 100K 10x","incidence",10,101303.3,58.8350802384654,18.6052859872313,42.0880809619244,"n"
"142",10,"basline 100K 10x","prevalence",10,101303.3,58.8350802384654,18.6052859872313,42.0880809619244,"n"
"143",10,"Scenario_1_100K_10x","incidence",10,101298.5,35.1038142910109,11.1008007719163,25.1117559789863,"n"
"144",10,"Scenario_1_100K_10x","prevalence",10,101298.5,35.1038142910109,11.1008007719163,25.1117559789863,"n"
"145",10,"Scenario_2_100K_10x","incidence",10,101280.6,27.5164597206028,8.70146858613852,19.6840894889968,"n"
"146",10,"Scenario_2_100K_10x","prevalence",10,101280.6,27.5164597206028,8.70146858613852,19.6840894889968,"n"
"147",10,"Scenario_3_100K_10x","incidence",9,101310,35.528157846981,11.842719282327,27.3093596371082,"n"
"148",10,"Scenario_3_100K_10x","prevalence",9,101310,35.528157846981,11.842719282327,27.3093596371082,"n"
"149",10,"Scenario_4_100K_10x","incidence",10,101291.6,24.0841118674624,7.61606489234726,17.2287357485593,"n"
"150",10,"Scenario_4_100K_10x","prevalence",10,101291.6,24.0841118674624,7.61606489234726,17.2287357485593,"n"
"151",10,"Scenario_5_100K_10x","incidence",10,101280.4,23.5098088276173,7.43445432504035,16.8179041028861,"n"
"152",10,"Scenario_5_100K_10x","prevalence",10,101280.4,23.5098088276173,7.43445432504035,16.8179041028861,"n"
"153",10,"Scenario_6_100K_10x","incidence",10,101286.1,23.9789259327621,7.58280217920057,17.1534902637604,"n"
"154",10,"Scenario_6_100K_10x","prevalence",10,101286.1,23.9789259327621,7.58280217920057,17.1534902637604,"n"
"155",11,"basline 100K 10x","incidence",10,101452.1,34.9331106863134,11.0468195523518,24.9896419764919,"n"
"156",11,"basline 100K 10x","prevalence",10,101452.1,34.9331106863134,11.0468195523518,24.9896419764919,"n"
"157",11,"Scenario_1_100K_10x","incidence",10,101429,39.0128184062623,12.3369364106329,27.9080890682992,"n"
"158",11,"Scenario_1_100K_10x","prevalence",10,101429,39.0128184062623,12.3369364106329,27.9080890682992,"n"
"159",11,"Scenario_2_100K_10x","incidence",10,101443,44.5969605341988,14.1027972008708,31.9027437034403,"n"
"160",11,"Scenario_2_100K_10x","prevalence",10,101443,44.5969605341988,14.1027972008708,31.9027437034403,"n"
"161",11,"Scenario_3_100K_10x","incidence",9,101435.222222222,32.3217333143575,10.7739111047858,24.8446835599582,"n"
